Name,val_obj,AdamOptimizer-args-lr,DualEncoderModel-audio_enc-conv_dropout,DualEncoderModel-audio_enc-conv_fine_tune_from,DualEncoderModel-audio_enc-fc_dropout,DualEncoderModel-audio_enc-fc_units,DualEncoderModel-text_enc-fc_units,stop_metric,train_obj,id,sweep_num
glowing-sweep-41,2.402164474,0.000204556,0.239693611,conv_block6,0.259848806,2048,2048,2.402164474,0.876790174,4ozb97hq,41
icy-sweep-15,2.40817536,0.000253431,0.349259949,conv_block6,0.275195164,2048,2048,2.40817536,1.050058559,ml50d57w,15
dashing-sweep-5,2.411877816,0.000265617,0.27856823,conv_block6,0.232173415,2048,512,2.411877816,0.850309635,6635vzj1,5
prime-sweep-21,2.43053851,0.000110219,0.296367933,conv_block6,0.289263178,2048,2048,2.43053851,1.226867848,hq1galvz,21
deft-sweep-47,2.449625532,0.000217324,0.266960923,conv_block6,0.290490487,2048,1024,2.449625532,1.100629643,gaialzmk,47
cool-sweep-30,2.451281721,0.000330661,0.357105832,conv_block6,0.208046553,2048,1024,2.451281721,0.934504444,b1t5tg5s,30
still-sweep-10,2.459266561,0.000486711,0.231692945,conv_block6,0.139471442,2048,512,2.459266561,0.748758174,j7e647tn,10
decent-sweep-39,2.461852435,0.000362535,0.258289654,conv_block6,0.151424122,1024,512,2.461852435,0.844000079,pfbj6887,39
breezy-sweep-32,2.462940104,0.0002584,0.195720374,conv_block6,0.131737032,1024,512,2.462940104,0.887941659,e3slmswe,32
efficient-sweep-1,2.463930303,0.000380925,0.232168527,conv_block6,0.133515449,1024,256,2.463930303,0.839033322,v0aifl2t,1
ethereal-sweep-48,2.464841351,0.000203062,0.265337484,conv_block6,0.289796335,2048,2048,2.464841351,0.928583864,f2r6kag8,48
zany-sweep-19,2.465310956,7.80E-05,0.286753268,conv_block6,0.290159995,2048,2048,2.465310956,1.2263079,9hfgp1m9,19
playful-sweep-46,2.469029318,0.000111396,0.174160427,conv_block6,0.264779942,2048,2048,2.469029318,0.996550971,mt80qkt3,46
wise-sweep-44,2.470426968,0.000206255,0.304107007,conv_block6,0.248233491,2048,2048,2.470426968,1.036827987,iumlts60,44
stilted-sweep-51,2.475122809,0.000341401,0.1896074,conv_block6,0.157302001,1024,1024,2.475122809,0.755081457,rxxidwjt,51
deep-sweep-31,2.475780765,0.000404256,0.295514535,conv_block6,0.152317428,2048,1024,2.475780765,0.810245508,3yhw4nwf,31
whole-sweep-43,2.484321215,0.000303218,0.242692804,conv_block6,0.243015202,2048,1024,2.484321215,1.034603931,1z8z3nmf,43
deft-sweep-33,2.485096198,0.000312059,0.353821983,conv_block6,0.268309122,2048,2048,2.485096198,1.113811023,6z2gh63c,33
dry-sweep-18,2.489432035,0.000204676,0.361194855,conv_block6,0.2094263,2048,2048,2.489432035,1.178497399,blfmny1i,18
light-sweep-24,2.489714243,0.000218421,0.403753354,conv_block5,0.305916007,2048,2048,2.489714243,1.10458712,h315s37v,24
crisp-sweep-49,2.49392197,0.000138631,0.184933647,conv_block6,0.322785799,2048,2048,2.49392197,0.9741494,7xc9gh8b,49
jolly-sweep-11,2.495657834,0.000342958,0.306167288,conv_block6,0.265979781,2048,1024,2.495657834,0.830672316,5t8kxy47,11
glorious-sweep-4,2.503215486,0.000212965,0.365403074,conv_block5,0.299816022,2048,2048,2.503215486,1.318227217,ujsmyzqg,4
warm-sweep-35,2.507536964,0.000113311,0.161552618,conv_block6,0.32218258,2048,512,2.507536964,1.081600012,ytjeiris,35
stilted-sweep-28,2.517648278,0.000435474,0.264716218,conv_block6,0.152117562,2048,1024,2.517648278,0.716698235,d25fqjt3,28
sparkling-sweep-40,2.528388442,0.0003374,0.344572444,conv_block6,0.248550407,2048,2048,2.528388442,1.301728147,78qjwz0p,40
distinctive-sweep-38,2.530101516,0.000305579,0.2054139,conv_block6,0.211265428,2048,1024,2.530101516,1.067727593,02yuglut,38
wise-sweep-7,2.535479322,0.000419396,0.282294885,conv_block6,0.195512311,2048,512,2.535479322,0.689700415,7euo5e5v,7
blooming-sweep-17,2.540984161,0.000228586,0.310043153,conv_block6,0.155859665,2048,512,2.540984161,0.777586561,vambpon8,17
confused-sweep-54,2.558079239,0.000149681,0.399681183,conv_block6,0.212507805,512,2048,2.558079239,1.237110149,3wasl1qa,54
lilac-sweep-52,2.562606266,0.000323989,0.351391658,conv_block6,0.21885261,2048,1024,2.562606266,1.028124569,939fr8x7,52
lunar-sweep-34,2.566251459,0.000172414,0.355806712,conv_block6,0.292622102,2048,2048,2.566251459,1.293166648,07frtkj5,34
faithful-sweep-55,2.57239971,0.000190411,0.336382565,conv_block6,0.251692619,512,256,2.57239971,1.310970192,sgjcxfv0,55
pious-sweep-8,2.573489388,0.000176796,0.299761835,conv_block6,0.26856382,2048,512,2.573489388,1.239643408,qrosikn8,8
zesty-sweep-2,2.585063631,6.28E-05,0.496253131,conv_block5,0.175868771,1024,2048,2.585063631,1.649341113,zb5a0x1a,2
lemon-sweep-20,2.589924368,0.000355402,0.250196105,conv_block6,0.324205061,2048,2048,2.589924368,0.828425997,j0qm1o1q,20
decent-sweep-12,2.595222022,0.000462646,0.127665303,conv_block6,0.384062387,256,2048,2.595222022,0.927029514,95cpr4kr,12
light-sweep-29,2.597474008,0.0003889,0.326488728,conv_block6,0.217515142,2048,2048,2.597474008,0.940690509,e85wcr1t,29
happy-sweep-23,2.60178929,0.000387132,0.348177351,conv_block6,0.338513435,2048,2048,2.60178929,0.989011639,ns50txq6,23
winter-sweep-45,2.602237803,0.000197463,0.203226182,conv_block6,0.159335763,1024,256,2.602237803,0.954845976,16izu792,45
stoic-sweep-57,2.603916042,0.000539697,0.222853354,conv_block5,0.46182619,2048,2048,2.603916042,1.069885306,03kqdr5x,57
earthy-sweep-9,2.605165969,0.00014991,0.239862303,conv_block6,0.200845949,1024,512,2.605165969,1.073168038,sj4vudrs,9
fearless-sweep-58,2.608939333,0.000837203,0.413741196,conv_block5,0.156445086,2048,512,2.608939333,0.87747974,7nozc0ty,58
vivid-sweep-26,2.621496157,0.00017972,0.36916321,conv_block6,0.387568029,2048,2048,2.621496157,1.265923386,dha05nc6,26
major-sweep-42,2.629942179,0.00044181,0.27191533,conv_block6,0.124439042,1024,256,2.629942179,0.805801055,o2ruwx0g,42
curious-sweep-50,2.638313908,0.00032892,0.412069124,conv_block6,0.171852148,2048,2048,2.638313908,1.235587214,28ykshl7,50
stoic-sweep-22,2.642615705,0.00058005,0.229807045,conv_block6,0.106503513,2048,1024,2.642615705,0.669841617,f38qyvo1,22
revived-sweep-16,2.643542095,0.000321056,0.193969358,conv_block6,0.120763058,2048,256,2.643542095,0.778104738,8oj1h30s,16
vague-sweep-36,2.648891839,0.000767064,0.429016127,conv_block6,0.23988725,512,2048,2.648891839,0.948188725,ltpcdn4c,36
efficient-sweep-60,2.652904641,0.000801143,0.215143799,conv_block6,0.234466246,256,512,2.652904641,0.849764176,1gpl0gg2,60
